comm_no,strategy,contract,lot
a,hv9_dla_day,a2005,2
eg,cpv7_dleg_day,eg2005,12
eg,hv5_dleg_day,eg2005,2
eg,hv7_dleg_day,eg2005,1
eg,hv9_dleg_day,eg2005,1
eg,ipv3_dleg_day,eg2005,5
eg,tst2_dleg_day,eg2005,2
eg,tst5_dleg_day,eg2005,5
eg,tst6_dleg_day,eg2005,2
i,avgp0_dli_day,i2005,1
i,cpv6_dli_day,i2005,2
i,hv5_dli_day,i2005,2
i,ipv7_dli_day,i2005,2
i,ipv8_dli_day,i2005,2
i,ipv9_dli_day,i2005,2
i,tst3_dli_day,i2005,2
i,tst5_dli_day,i2005,2
j,avgp0_dlj_day,j2005,3
jd,hv3_dljd_day,jd2005,2
jd,hv7_dljd_day,jd2005,1
jd,hv8_dljd_day,jd2005,1
jd,hv9_dljd_day,jd2005,2
jd,tst6_dljd_day,jd2005,1
jm,hv3_dljm_day,jm2005,1
jm,hv5_dljm_day,jm2005,1
m,tst0_dlm_day,m2005,1
p,hv5_dlp_day,p2005,2
p,hv9_dlp_day,p2005,1
pp,avgp0_dlpp_day,pp2005,1
pp,avgp1_dlpp_day,pp2005,1
pp,hv9_dlpp_day,pp2005,1
y,hv3_dly_day,y2005,3
y,tst1_dly_day,y2005,1
y,tst5_dly_day,y2005,1
