comm_no,strategy,contract,lot
dlv,st301a_dlv_day,v1905,3
dla,st301a_dla_day,a1901,1
dljd,st301a_dljd_day,jd1905,1
dlv,st303a_dlv_day,v1905,3
dla,st303a_dla_day,a1901,1
dljd,st309a_dljd_day,jd1905,1
dlv,st309a_dlv_day,v1905,3
dla,st309a_dla_day,a1901,1
dlv,st310a_dlv_day,v1905,3
dla,st310a_dla_day,a1901,1
dlv,st315a_dlv_day,v1905,3
a,ipv0_dla_day,a1901,1
a,mpv0_dla_day,a1901,6
c,tst1_dlc_day,c1905,11
cs,chg1_dlcs_day,cs1905,5
cs,mpv1_dlcs_day,cs1905,2
i,hv8_dli_day,i1905,1
i,hv9_dli_day,i1905,1
j,cpv6_dlj_day,j1905,2
j,cpv7_dlj_day,j1905,1
j,hv3_dlj_day,j1905,1
j,ipv7_dlj_day,j1905,2
j,mpv7_dlj_day,j1905,2
j,tpv7_dlj_day,j1905,2
jd,xpv8_dljd_day,jd1905,5
jm,hv7_dljm_day,jm1905,1
jm,ipv0_dljm_day,jm1905,1
l,tst1_dll_day,l1905,1
l,tst2_dll_day,l1905,1
m,chg2_dlm_day,m1905,5
m,cpv3_dlm_day,m1905,2
m,cpv4_dlm_day,m1905,2
m,cpv5_dlm_day,m1905,2
m,cpv7_dlm_day,m1905,15
m,mpv3_dlm_day,m1905,5
m,mpv4_dlm_day,m1905,2
m,tpv2_dlm_day,m1905,2
m,tpv3_dlm_day,m1905,2
m,tst5_dlm_day,m1905,2
m,xpv0_dlm_day,m1905,7
m,xpv3_dlm_day,m1905,15
pp,cpv7_dlpp_day,pp1905,1
pp,hv3_dlpp_day,pp1905,1
v,hv5_dlv_day,v1905,1
v,tst1_dlv_day,v1905,1
v,tst2_dlv_day,v1905,1
v,xpv8_dlv_day,v1905,1
