comm_no,strategy,contract,lot,,,0.32,3.2
cs,hv7_dlcs_night,cs2005,1,,,,
cs,tst0_dlcs_night,cs2005,16,,,,
eg,hv7_dleg_night,eg2005,2,,,,
eg,hv9_dleg_night,eg2005,2,,,,
eg,tst1_dleg_night,eg2005,2,,,,
eg,tst9_dleg_night,eg2005,2,,,,
i,tst0_dli_night,i2005,10,,,,
j,hv7_dlj_night,j2005,1,,,,
jm,tst0_dljm_night,jm2005,1,,,,
m,avgp1_dlm_night,m2005,1,,,,
pp,avgp1_dlpp_night,pp2005,1,,,,
pp,cpv0_dlpp_night,pp2005,2,,,,
pp,cpv2_dlpp_night,pp2005,2,,,,
pp,cpv3_dlpp_night,pp2005,2,,,,
pp,cpv7_dlpp_night,pp2005,1,,,,
pp,hv3_dlpp_night,pp2005,3,,,,
pp,hv5_dlpp_night,pp2005,2,,,,
pp,hv7_dlpp_night,pp2005,1,,,,
pp,hv8_dlpp_night,pp2005,1,,,,
pp,hv9_dlpp_night,pp2005,1,,,,
pp,ipv2_dlpp_night,pp2005,7,,,,
pp,ipv8_dlpp_night,pp2005,2,,,,
pp,tst1_dlpp_night,pp2005,7,,,,
pp,tst2_dlpp_night,pp2005,1,,,,
