comm_no,strategy,contract,lot
shcu,st301a_cu_day,cu1902,1
shni,st301a_ni_day,ni1905,1
shpb,st301a_pb_day,pb1901,1
shrb,st301a_rb_day,rb1905,86
shcu,st303a_cu_day,cu1902,1
shpb,st303a_pb_day,pb1901,1
shrb,st303a_rb_day,rb1905,86
shrb,st304a_rb_day,rb1905,86
shrb,st306a_rb_day,rb1905,86
shrb,st307a_rb_day,rb1905,86
shrb,st308a_rb_day,rb1905,86
shpb,st302a_pb_day,pb1901,1
shpb,st315a_pb_day,pb1901,1
shcu,st309a_cu_day,cu1902,1
shpb,st305a_pb_day,pb1901,1
shrb,st305a_rb_day,rb1905,86
shpb,st309a_pb_day,pb1901,1
shrb,st309a_rb_day,rb1905,86
shpb,st310a_pb_day,pb1901,1
shrb,st310a_rb_day,rb1905,86
shhc,st311a_hc_day,hc1905,1
shrb,st311a_rb_day,rb1905,86
shcu,st314a_cu_day,cu1902,1
shpb,st314a_pb_day,pb1901,1
shrb,st314a_rb_day,rb1905,86
shcu,st315a_cu_day,cu1902,1
shsp,st301a_sp_day,sp1906,5
shsp,st311a_sp_day,sp1906,5
shsp,st314a_sp_day,sp1906,5
shfu,st301a_fu_day,fu1905,3
shfu,st303a_fu_day,fu1905,2
shfu,st309a_fu_day,fu1905,3
shfu,st310a_fu_day,fu1905,2
shfu,st314a_fu_day,fu1905,3
shfu,st315a_fu_day,fu1905,2
shfu,st317a_fu_day,fu1905,3
shru,st302a_ru_day,ru1905,1
shru,st317a_ru_day,ru1905,1
shrb,st302a_rb_day,rb1905,20
shrb,st312a_rb_day,rb1905,20
shrb,st313a_rb_day,rb1905,20
shrb,st315a_rb_day,rb1905,20
shrb,st316a_rb_day,rb1905,20
shrb,st317a_rb_day,rb1905,22
bu,chg2_shbu_day,bu1906,1
cu,cpv4_shcu_day,cu1902,2
cu,tpv0_shcu_day,cu1902,5
fu,tpv5_shfu_day,fu1905,5
fu,tpv7_shfu_day,fu1905,10
hc,chg6_shhc_day,hc1905,3
hc,cpv5_shhc_day,hc1905,3
hc,cpv6_shhc_day,hc1905,17
hc,cpv7_shhc_day,hc1905,13
rb,chg6_shrb_day,rb1905,25
rb,cpv5_shrb_day,rb1905,25
rb,cpv7_shrb_day,rb1905,18
sp,chg2_shsp_day,sp1906,25
sp,chg3_shsp_day,sp1906,13
au,hv7_shau_day,au1906,5
au,hv8_shau_day,au1906,7
bu,tst1_shbu_day,bu1906,1
cu,tst5_shcu_day,cu1902,5
hc,hv3_shhc_day,hc1905,4
pb,hv3_shpb_day,pb1901,4
pb,hv5_shpb_day,pb1901,4
rb,tst3_shrb_day,rb1905,8
rb,tst6_shrb_day,rb1905,7
rb,tst7_shrb_day,rb1905,15
rb,xpv5_shrb_day,rb1905,25
rb,xpv8_shrb_day,rb1905,8
ru,xpv7_shru_day,ru1905,1
sp,tst2_shsp_day,sp1906,18
sp,tst3_shsp_day,sp1906,1
sp,tst6_shsp_day,sp1906,3
sp,tst7_shsp_day,sp1906,3
sp,tst9_shsp_day,sp1906,6
fu,ipv9_shfu_day,fu1905,5
fu,mpv7_shfu_day,fu1905,10
hc,mpv7_shhc_day,hc1905,25
rb,ipv5_shrb_day,rb1905,18
rb,mpv5_shrb_day,rb1905,25
ru,ipv7_shru_day,ru1905,1
ru,mpv7_shru_day,ru1905,1
sc,chg5_shsc_day,sc1901,1
sc,cpv6_shsc_day,sc1901,1
sc,ipv7_shsc_day,sc1901,1
sc,mpv7_shsc_day,sc1901,1
sc,tpv9_shsc_day,sc1901,1
sc,tst3_shsc_day,sc1901,1
sc,xpv4_shsc_day,sc1901,1
