comm_no,strategy,contract,lot
ap,hv3_zzap_day,AP005,5
ap,hv5_zzap_day,AP005,5
ap,hv9_zzap_day,AP005,5
ap,xpv6_zzap_day,AP005,1
ap,xpv7_zzap_day,AP005,1
ap,xpv8_zzap_day,AP005,2
cf,hv7_zzcf_day,CF005,1
cf,hv8_zzcf_day,CF005,2
cf,hv9_zzcf_day,CF005,3
cj,hv8_zzcj_day,CJ005,1
cj,hv9_zzcj_day,CJ005,4
ma,hv3_zzma_day,MA005,4
ma,hv8_zzma_day,MA005,1
oi,hv3_zzoi_day,OI005,3
sf,hv8_zzsf_day,SF005,1
sf,hv9_zzsf_day,SF005,1
sf,tst2_zzsf_day,SF005,3
sf,tst7_zzsf_day,SF005,3
sf,tst9_zzsf_day,SF005,3
sf,xpv0_zzsf_day,SF005,3
sf,xpv3_zzsf_day,SF005,7
sf,xpv4_zzsf_day,SF005,2
sf,xpv5_zzsf_day,SF005,1
sm,hv3_zzsm_day,SM005,3
sm,hv5_zzsm_day,SM005,3
sm,hv8_zzsm_day,SM005,1
sm,hv9_zzsm_day,SM005,3
sr,hv7_zzsr_day,SR005,1
sr,hv9_zzsr_day,SR005,2
ta,hv7_zzta_day,TA005,1
ta,hv8_zzta_day,TA005,2
ta,hv9_zzta_day,TA005,1
zc,tst1_zzzc_day,ZC005,2
